post_token	count	percent_of_cuts
در	2183	5.64
به	1581	4.09
که	1158	2.99
از	1047	2.71
برای	799	2.07
با	761	1.97
این	585	1.51
یک	487	1.26
یا	323	0.84
او	315	0.81
ما	245	0.63
من	233	0.60
آنها	200	0.52
را	170	0.44
هر	164	0.42
قسمت	160	0.41
اگر	152	0.39
بعد	149	0.39
آن	141	0.36
همه	141	0.36
مردم	129	0.33
بر	126	0.33
وقتی	120	0.31
حتی	111	0.29
باید	109	0.28
می	106	0.27
استاد	104	0.27
باشد	98	0.25
یکی	97	0.25
فقط	93	0.24
شما	92	0.24
خیلی	89	0.23
مثل	88	0.23
مانند	86	0.22
زندگی	85	0.22
نه	83	0.21
همچنین	83	0.21
چه	79	0.20
بسیار	78	0.20
توسط	74	0.19
تمام	70	0.18
بیش	67	0.17
روی	67	0.17
بلکه	65	0.17
اشخاص-	64	0.17
جایی	64	0.17
آیا	62	0.16
دو	61	0.16
شاید	60	0.16
بله	57	0.15
کمک	56	0.14
می‌تواند	56	0.14
بینندگان	55	0.14
باعث	52	0.13
وگان	51	0.13
لطفا	51	0.13
فکر	49	0.13
۱	49	0.13
اینجا	47	0.12
مواد	46	0.12
بدون	45	0.12
ممکن	44	0.11
افراد	44	0.11
بیایید	44	0.11
بخاطر	43	0.11
امروز	43	0.11
اولین	43	0.11
لطفاً	43	0.11
بسیاری	42	0.11
حالا	42	0.11
همیشه	42	0.11
بیشتر	42	0.11
حضرت	42	0.11
همراه	40	0.10
چرا	40	0.10
هیچ	40	0.10
استفاده	40	0.10
برخی	39	0.10
خود	39	0.10
نمی	38	0.10
برنامه	38	0.10
انجام	38	0.10
تحت	37	0.10
درباره	37	0.10
تغییر	37	0.10
راه	37	0.10
نسبت	36	0.09
صلح	36	0.09
شروع	36	0.09
می‌توانید	36	0.09
چیزی	35	0.09
هم	35	0.09
افزایش	35	0.09
نشان	35	0.09
حیوانات	35	0.09
دیگر	34	0.09
چگونه	34	0.09
آب	34	0.09
همچنان	34	0.09
عشق	34	0.09
حدود	33	0.09
دوباره	33	0.09
ارتباط	33	0.09
مورد	33	0.09
موجودات	32	0.08
سه	32	0.08
کاهش	32	0.08
زمانی	31	0.08
هنوز	31	0.08
واقعاً	31	0.08
خب	31	0.08
نجات	31	0.08
تنها	31	0.08
ایجاد	31	0.08
خدا	30	0.08
احساس	30	0.08
سال	30	0.08
نور	30	0.08
بعنوان	30	0.08
انرژی	30	0.08
