token	count
و	2651
در	2243
به	1649
که	1190
از	1083
برای	824
با	784
این	606
تا	514
یک	499
اما	461
او	330
یا	327
من	255
ما	251
پس	250
چون	225
آنها	204
قسمت	182
اگر	171
را	171
هر	169
بعد	152
آن	149
همه	141
زیرا	139
مردم	130
بر	127
وقتی	124
استاد	122
حتی	114
باید	114
می	109
یکی	102
باشد	101
شما	98
زندگی	94
فقط	93
مثل	91
خیلی	89
مانند	89
نه	89
همچنین	84
چه	82
بسیار	81
توسط	78
آیا	70
تمام	70
روی	70
اشخاص-	70
بیش	67
بلکه	66
جایی	64
دو	61
شاید	61
بله	60
کمک	56
بینندگان	56
می‌تواند	56
وگان	55
یعنی	53
باعث	52
لطفا	52
فکر	51
۱	51
ممکن	50
بنابراین	50
بدون	50
مواد	49
اینجا	47
سه	47
افراد	46
اولین	46
حالا	45
بخاطر	45
بیایید	45
چرا	45
راه	45
سپس	45
لطفاً	45
امروز	44
بیشتر	43
حضرت	43
بسیاری	42
همیشه	42
برخی	41
همراه	41
صلح	41
هیچ	41
خب	40
استفاده	40
تغییر	40
انجام	39
خود	39
نمی	38
برنامه	38
درباره	38
همچنان	38
عشق	38
نسبت	37
چیزی	37
تحت	37
حیوانات	37
شروع	36
می‌توانید	36
افزایش	36
زمانی	35
حدود	35
هم	35
چگونه	35
نشان	35
دوباره	34
دیگر	34
اوه	34
جایزه	34
ارتباط	34
آب	34
نور	33
مورد	33
ایجاد	33
هنوز	32
واقعاً	32
سال	32
موجودات	32
کاهش	32
نجات	31
تنها	31
انرژی	31
خدا	30
احساس	30
بعنوان	30
سوپریم	29
اینکه	29
درست	29
	29
آنگاه	29
محیط	29
دکتر	29
گاهی	28
کمی	28
کار	28
قدرت	27
وارد	27
بطور	27
+	27
آه	26
نام	26
آنچه	26
کتاب	26
سیستم	26
محافظت	25
بزرگترین	25
مثلا	25
قرار	25
تغییرات	25
خداوند	25
تیم	24
محصولات	24
می‌توانند	24
سازمان	24
تولید	24
سبک	24
دارای	24
قبل	23
دوست	23
مرکز	23
پنج	23
رژیم	23
سلامت	23
زبان	23
زمین	23
دریافت	22
است	22
مصرف	22
بین	22
چند	22
فراتر	22
قدردانی	22
گوشت	22
ولی	21
چهار	21
بررسی	21
شرکت	21
سفر	21
جهان	21
همانطور	21
متوجه	20
حداقل	20
آنجا	20
نقش	20
انتخاب	20
مناطق	20
محققان	20
تأثیر	20
شفقت	20
پادشاه	20
دور	19
چنین	19
گفتم	19
صحبت	19
