token	count
و	2408
که	1666
را	1068
است	1067
از	627
در	448
برای	410
به	362
بود	329
وگان	313
کرد	277
با	269
تا	262
-	257
کنید	241
شد	235
می‌کند	216
کند	209
هستند	205
استاد	204
ما	193
دارد	192
کنند	190
بله	189
باشد	172
یا	166
شما	166
کنیم	153
شود	147
شده	143
می‌کنند	136
می‌شود	134
خود	129
بعدی	117
دارند	115
آن	114
های	113
کنم	110
	108
ها	103
۲	93
آمریکا	92
حیوان	91
داد	90
آنها	89
جهانی	89
باشید	87
نیست	86
عنوان	85
هم	82
او	81
دیگر	80
زمین	80
این	79
می‌دهد	78
کردند	75
داریم	74
من	73
باشند	72
گفت	70
اند	69
بودند	68
شوند	67
مورد	67
کرده	65
ای	65
می‌کنید	64
یک	61
زندگی	61
جهان	60
بودا	59
حیوانات	59
می‌تواند	59
مان	59
دهیم	57
برنامه	57
دهد	56
هستم	53
بیشتر	53
داشت	52
کردم	52
تلویزیون	52
مانند	51
می‌کنم	51
امروز	49
دریایی	49
دارید	48
هستیم	48
گیاهخوار	48
دهید	46
توسط	46
بودم	46
میشود	45
می‌کنیم	45
دارم	44
مردم	44
شدند	44
هستید	44
اینکه	44
می‌شوند	44
شاگردان	44
دهند	43
اما	43
باشیم	42
معنوی	41
وای	41
هند	41
مختلف	40
خداوند	40
نیز	40
مثل	40
غذایی	39
دادند	39
روز	38
روی	38
بنشینید	38
کوچک	37
آمد	36
میکند	36
مهربان	36
دنیا	35
ندارد	35
جدید	34
میکنند	34
سال	34
بیشتری	34
بر	34
جمله	33
اقلیمی	33
کشور	33
کردیم	32
بسیاری	32
ام	32
گیاهی	32
الهی	32
شوید	31
چیزی	31
–	31
درسته	30
حال	30
می‌کرد	30
آمدید	30
موجودات	29
افراد	29
تان	29
صلح	29
گذشته	29
بزرگ	29
درباره	29
محلی	29
ی	29
داشتند	28
نفر	28
ویتنام	28
همچنین	28
باید	27
نیستند	27
کردن	27
می‌دهند	27
سفید	27
اصلی	27
طریق	27
قسمتی	27
باشم	26
غذا	26
چون	26
میکنیم	26
ماه	26
سیاره	26
خدا	26
طبیعی	26
آب	26
پیش	25
بعنوان	25
دربارۀ	25
باعث	25
خورشید	25
گرفت	25
عشق	25
شده‌اند	25
‏	25
زیادی	24
نکنید	24
همیشه	24
۲۰۲۵	24
داده	24
شدم	24
کنگو	24
حتی	23
دیگری	23
همه	23
به‌عنوان	23
واقعی	23
اش	23
توجه	22
خوب	22
زیرا	22
تواند	22
نو	22
چینی	22
