bigram	count
است که	144
و به	117
را به	116
را در	116
که در	113
است و	108
که به	105
و در	103
را برای	70
را از	57
و از	56
بود و	51
کرد و	49
و این	49
که این	46
که از	46
که با	45
را با	44
و یک	42
که برای	42
و با	40
است در	37
است اما	37
بنشینید تا	36
و او	35
است به	33
شد و	33
کنید و	31
کنند و	31
و همچنین	30
که یک	29
و و	29
می‌کند و	29
هستند و	28
است این	28
بود که	28
شده و	26
کرده و	26
کند و	26
که ما	26
و برای	26
کنیم و	25
و بعد	24
تا از	23
استاد و	22
است چون	22
و من	22
دارد و	22
بود در	21
کند که	21
هستند که	20
و آنها	20
را که	19
و ما	19
دارد که	19
که و	18
بله و	18
وگان و	18
است زیرا	18
می‌شود و	18
جهانی برای	18
دارند که	17
شد به	17
می‌کند که	17
است از	17
کنند که	16
است با	16
و آن	16
تا به	16
تا در	16
که او	16
از در	16
کند تا	16
شود و	16
می‌دهد که	16
از این	16
شما در	16
۲ در	16
باشد که	15
کنند تا	15
که می	15
را و	15
کنم و	15
و همه	15
داد که	15
کرد که	15
خود به	15
شد که	15
باشید و	14
بود اما	14
و اما	14
که هر	14
که آنها	14
و تا	14
وگان به	14
شاگردان بعد	14
وگان از	14
بسیاری از	13
کنید تا	13
نیست بلکه	13
که همه	13
که من	13
و هر	13
است اگر	13
شده که	13
و که	13
می‌شود که	13
شوید تا	12
را تا	12
ها و	12
است پس	12
- و	12
کردند و	12
و پس	12
و مردم	12
وگان در	12
دارند و	12
کردند که	12
می‌کنند و	12
است یک	12
وگان قسمت	12
هستند اما	11
باشد و	11
که آیا	11
است او	11
بود چون	11
باشد اما	11
دهیم و	11
ما در	11
و باعث	11
در این	11
شود که	11
که مردم	11
در یک	11
- به	11
بودند و	11
و سپس	11
که چگونه	11
شوند و	11
کنیم تا	11
TV در	11
بود او	10
داشت و	10
می‌کنید و	10
می‌کند در	10
که توسط	10
کرد تا	10
کشور از	10
۵ در	10
که می‌تواند	10
جهانی جایزه	10
استاد من	9
دارد اما	9
کنم که	9
بودم و	9
است برای	9
و باید	9
و اشخاص-	9
و چون	9
کنید اما	9
را او	9
و اگر	9
ما به	9
و کاهش	9
- در	9
که بر	9
می‌کنند که	9
کرد در	9
از و	9
مهربان از	9
شما بینندگان	9
ها به	9
که یکی	9
کنیم که	9
در سوپریم	9
داریم که	9
حیوان و	9
که پس	9
که چرا	9
۸ در	9
۲ لطفا	9
شود تا	8
که زندگی	8
دهند و	8
اند که	8
هستم و	8
است خیلی	8
در در	8
آنها در	8
باشیم و	8
میکند و	8
که شما	8
نیست و	8
که آن	8
زمین در	8
وگان با	8
کنید +	8
داد و	8
بیشتر در	8
الهی باشد	8
روسی اسپانیایی	8
و باشد	8
بودند که	8
دهد و	8
- از	8
بیشتر با	8
با لطفا	8
توجه اینجا	8
شاگردان در	8
ما همراه	8
که افراد	7
وای و	7
استاد اگر	7
بله اما	7
است نه	7
کند به	7
بوده و	7
است تا	7
را نجات	7
دارند در	7
من به	7
هستید و	7
شما و	7
که باید	7
می‌کند به	7
 و	7
ها در	7
کنید اگر	7
یا هر	7
و دیگر	7
و مثل	7
که تا	7
و بر	7
را تحت	7
بود این	7
- این	7
آمریکا در	7
حیوان در	7
داده و	7
وگان که	7
تا با	7
برای محافظت	7
را افزایش	7
برای و	7
در سراسر	7
می‌دهد و	7
۲ بعد	7
باشد یا	7
شما به	7
خود در	7
نفر در	7
عنوان یک	7
مردم در	7
جهانی و	7
حیوان قسمت	7
که هم	7
از محیط	7
حیوان از	7
کنند زیرا	7
و زندگی	7
هستیم که	7
جدید برای	7
تا این	7
آن به	7
حیوانات در	7
را بر	7
هستند در	7
می‌تواند در	7
از یک	7
حیوانات و	7
کنند با	7
هستم یک	7
را این	7
باشد تا	7
کرد از	7
یین نور	7
بهشتی نور	7
بهشتی قسمت	7
ای و	7
شاگردان روز	7
نوامبر تا	7
۲ لطفاً	7
که بسیاری	6
با این	6
برخی از	6
کرده که	6
کنیم اما	6
باشند و	6
دهید تا	6
را دوست	6
کنید با	6
که اگر	6
هم در	6
دارد این	6
است بله	6
کنید به	6
یا با	6
یا به	6
شده از	6
و شما	6
