display_chars	count
2	5
3	2
4	32
5	61
6	62
7	66
8	99
9	177
10	215
11	316
12	375
13	530
14	490
15	601
16	715
17	889
18	1036
19	1137
20	1331
21	1467
22	1698
23	1856
24	1979
25	2121
26	2272
27	2188
28	2327
29	2331
30	2460
31	2530
32	2413
33	2549
34	2465
35	2600
36	2643
37	2692
38	2595
39	2397
40	2209
41	1886
42	1541
43	1078
44	826
45	574
46	455
47	301
48	186
49	134
50	101
51	62
52	29
53	18
54	13
55	8
56	8
57	6
58	1
59	5
60	2
61	6
62	2
63	4
64	1
66	1
67	7
68	2
69	3
70	2
71	5
72	2
73	6
75	1
76	1
77	2
79	5
81	4
83	2
85	1
87	1
88	1
89	3
90	1
91	1
97	1
99	2
101	1
102	1
103	1
105	1
108	2
110	1
115	1
116	1
127	1
154	1
155	1
161	1
227	1
238	1
258	1
366	1
401	1
1645	1
